game_id,game_date,season,away,home,away_score,home_score,status,stadium
20240402-Yokohama_DeNA_BayStars-Hanshin_Tigers,2024-04-02 18:00:00,2024,Yokohama DeNA BayStars,Hanshin Tigers,5.0,3.0,Final,京セラD大阪
20240402-Yomiuri_Giants-Chunichi_Dragons,2024-04-02 18:15:00,2024,Yomiuri Giants,Chunichi Dragons,3.0,4.0,Final,バンテリンドーム
20240402-Chiba_Lotte_Marines-Fukuoka_SoftBank_Hawks,2024-04-02 18:30:00,2024,Chiba Lotte Marines,Fukuoka SoftBank Hawks,0.0,2.0,Final,PayPayドーム
20240402-Tohoku_Rakuten_Golden_Eagles-Hokkaido_Nippon-Ham_Fighters,2024-04-02 18:30:00,2024,Tohoku Rakuten Golden Eagles,Hokkaido Nippon-Ham Fighters,4.0,2.0,Final,エスコンＦ
20240403-Chiba_Lotte_Marines-Fukuoka_SoftBank_Hawks,2024-04-03 18:00:00,2024,Chiba Lotte Marines,Fukuoka SoftBank Hawks,4.0,2.0,Final,PayPayドーム
20240403-Orix_Buffaloes-Saitama_Seibu_Lions,2024-04-03 18:00:00,2024,Orix Buffaloes,Saitama Seibu Lions,0.0,3.0,Final,ベルーナドーム
20240403-Tokyo_Yakult_Swallows-Hiroshima_Toyo_Carp,2024-04-03 18:00:00,2024,Tokyo Yakult Swallows,Hiroshima Toyo Carp,,,Postponed,マツダスタジアム
20240403-Yokohama_DeNA_BayStars-Hanshin_Tigers,2024-04-03 18:00:00,2024,Yokohama DeNA BayStars,Hanshin Tigers,2.0,5.0,Final,京セラD大阪
20240403-Yomiuri_Giants-Chunichi_Dragons,2024-04-03 18:00:00,2024,Yomiuri Giants,Chunichi Dragons,2.0,5.0,Final,バンテリンドーム
20240403-Tohoku_Rakuten_Golden_Eagles-Hokkaido_Nippon-Ham_Fighters,2024-04-03 18:30:00,2024,Tohoku Rakuten Golden Eagles,Hokkaido Nippon-Ham Fighters,2.0,4.0,Final,エスコンＦ
20240404-Orix_Buffaloes-Saitama_Seibu_Lions,2024-04-04 13:00:00,2024,Orix Buffaloes,Saitama Seibu Lions,2.0,1.0,Final,ベルーナドーム
20240404-Chiba_Lotte_Marines-Fukuoka_SoftBank_Hawks,2024-04-04 18:00:00,2024,Chiba Lotte Marines,Fukuoka SoftBank Hawks,1.0,8.0,Final,PayPayドーム
20240404-Tokyo_Yakult_Swallows-Hiroshima_Toyo_Carp,2024-04-04 18:00:00,2024,Tokyo Yakult Swallows,Hiroshima Toyo Carp,3.0,6.0,Final,マツダスタジアム
20240404-Yokohama_DeNA_BayStars-Hanshin_Tigers,2024-04-04 18:00:00,2024,Yokohama DeNA BayStars,Hanshin Tigers,3.0,2.0,Final,京セラD大阪
20240404-Yomiuri_Giants-Chunichi_Dragons,2024-04-04 18:00:00,2024,Yomiuri Giants,Chunichi Dragons,2.0,0.0,Final,バンテリンドーム
20240405-Chunichi_Dragons-Hiroshima_Toyo_Carp,2024-04-05 18:00:00,2024,Chunichi Dragons,Hiroshima Toyo Carp,1.0,0.0,Final,マツダスタジアム
20240405-Fukuoka_SoftBank_Hawks-Tohoku_Rakuten_Golden_Eagles,2024-04-05 18:00:00,2024,Fukuoka SoftBank Hawks,Tohoku Rakuten Golden Eagles,6.0,1.0,Final,楽天モバイル
20240405-Hanshin_Tigers-Tokyo_Yakult_Swallows,2024-04-05 18:00:00,2024,Hanshin Tigers,Tokyo Yakult Swallows,7.0,6.0,Final,神 宮
20240405-Orix_Buffaloes-Chiba_Lotte_Marines,2024-04-05 18:00:00,2024,Orix Buffaloes,Chiba Lotte Marines,0.0,1.0,Final,ZOZOマリン
20240405-Saitama_Seibu_Lions-Hokkaido_Nippon-Ham_Fighters,2024-04-05 18:00:00,2024,Saitama Seibu Lions,Hokkaido Nippon-Ham Fighters,2.0,3.0,Final,エスコンＦ
20240405-Yokohama_DeNA_BayStars-Yomiuri_Giants,2024-04-05 18:00:00,2024,Yokohama DeNA BayStars,Yomiuri Giants,2.0,1.0,Final,東京ドーム
20240406-Chunichi_Dragons-Hiroshima_Toyo_Carp,2024-04-06 14:00:00,2024,Chunichi Dragons,Hiroshima Toyo Carp,4.0,0.0,Final,マツダスタジアム
20240406-Fukuoka_SoftBank_Hawks-Tohoku_Rakuten_Golden_Eagles,2024-04-06 14:00:00,2024,Fukuoka SoftBank Hawks,Tohoku Rakuten Golden Eagles,5.0,4.0,Final,楽天モバイル
20240406-Hanshin_Tigers-Tokyo_Yakult_Swallows,2024-04-06 14:00:00,2024,Hanshin Tigers,Tokyo Yakult Swallows,4.0,3.0,Final,神 宮
20240406-Orix_Buffaloes-Chiba_Lotte_Marines,2024-04-06 14:00:00,2024,Orix Buffaloes,Chiba Lotte Marines,9.0,1.0,Final,ZOZOマリン
20240406-Saitama_Seibu_Lions-Hokkaido_Nippon-Ham_Fighters,2024-04-06 14:00:00,2024,Saitama Seibu Lions,Hokkaido Nippon-Ham Fighters,5.0,2.0,Final,エスコンＦ
20240406-Yokohama_DeNA_BayStars-Yomiuri_Giants,2024-04-06 18:00:00,2024,Yokohama DeNA BayStars,Yomiuri Giants,6.0,4.0,Final,東京ドーム
20240407-Fukuoka_SoftBank_Hawks-Tohoku_Rakuten_Golden_Eagles,2024-04-07 13:00:00,2024,Fukuoka SoftBank Hawks,Tohoku Rakuten Golden Eagles,2.0,3.0,Final,楽天モバイル
20240407-Saitama_Seibu_Lions-Hokkaido_Nippon-Ham_Fighters,2024-04-07 13:00:00,2024,Saitama Seibu Lions,Hokkaido Nippon-Ham Fighters,11.0,1.0,Final,エスコンＦ
20240407-Chunichi_Dragons-Hiroshima_Toyo_Carp,2024-04-07 13:30:00,2024,Chunichi Dragons,Hiroshima Toyo Carp,1.0,0.0,Final,マツダスタジアム
20240407-Hanshin_Tigers-Tokyo_Yakult_Swallows,2024-04-07 13:30:00,2024,Hanshin Tigers,Tokyo Yakult Swallows,1.0,3.0,Final,神 宮
20240407-Orix_Buffaloes-Chiba_Lotte_Marines,2024-04-07 14:00:00,2024,Orix Buffaloes,Chiba Lotte Marines,2.0,5.0,Final,ZOZOマリン
20240407-Yokohama_DeNA_BayStars-Yomiuri_Giants,2024-04-07 14:00:00,2024,Yokohama DeNA BayStars,Yomiuri Giants,0.0,3.0,Final,東京ドーム
20240409-Chiba_Lotte_Marines-Saitama_Seibu_Lions,2024-04-09 18:00:00,2024,Chiba Lotte Marines,Saitama Seibu Lions,5.0,0.0,Final,県営大宮
20240409-Chunichi_Dragons-Yokohama_DeNA_BayStars,2024-04-09 18:00:00,2024,Chunichi Dragons,Yokohama DeNA BayStars,3.0,1.0,Final,横 浜
20240409-Hiroshima_Toyo_Carp-Hanshin_Tigers,2024-04-09 18:00:00,2024,Hiroshima Toyo Carp,Hanshin Tigers,0.0,1.0,Final,甲子園
20240409-Hokkaido_Nippon-Ham_Fighters-Fukuoka_SoftBank_Hawks,2024-04-09 18:00:00,2024,Hokkaido Nippon-Ham Fighters,Fukuoka SoftBank Hawks,4.0,2.0,Final,熊 本
20240409-Tohoku_Rakuten_Golden_Eagles-Orix_Buffaloes,2024-04-09 18:00:00,2024,Tohoku Rakuten Golden Eagles,Orix Buffaloes,4.0,5.0,Final,京セラD大阪
20240409-Yomiuri_Giants-Tokyo_Yakult_Swallows,2024-04-09 18:00:00,2024,Yomiuri Giants,Tokyo Yakult Swallows,3.0,1.0,Final,鹿児島
20240410-Chiba_Lotte_Marines-Saitama_Seibu_Lions,2024-04-10 18:00:00,2024,Chiba Lotte Marines,Saitama Seibu Lions,3.0,2.0,Final,ベルーナドーム
20240410-Chunichi_Dragons-Yokohama_DeNA_BayStars,2024-04-10 18:00:00,2024,Chunichi Dragons,Yokohama DeNA BayStars,6.0,1.0,Final,横 浜
20240410-Hiroshima_Toyo_Carp-Hanshin_Tigers,2024-04-10 18:00:00,2024,Hiroshima Toyo Carp,Hanshin Tigers,6.0,2.0,Final,甲子園
20240410-Tohoku_Rakuten_Golden_Eagles-Orix_Buffaloes,2024-04-10 18:00:00,2024,Tohoku Rakuten Golden Eagles,Orix Buffaloes,5.0,4.0,Final,京セラD大阪
20240411-Hiroshima_Toyo_Carp-Hanshin_Tigers,2024-04-11 18:00:00,2024,Hiroshima Toyo Carp,Hanshin Tigers,1.0,0.0,Final,甲子園
20240411-Hokkaido_Nippon-Ham_Fighters-Fukuoka_SoftBank_Hawks,2024-04-11 18:00:00,2024,Hokkaido Nippon-Ham Fighters,Fukuoka SoftBank Hawks,3.0,6.0,Final,北九州
20240411-Tohoku_Rakuten_Golden_Eagles-Orix_Buffaloes,2024-04-11 18:00:00,2024,Tohoku Rakuten Golden Eagles,Orix Buffaloes,1.0,2.0,Final,京セラD大阪
20240411-Yomiuri_Giants-Tokyo_Yakult_Swallows,2024-04-11 18:00:00,2024,Yomiuri Giants,Tokyo Yakult Swallows,5.0,0.0,Final,神 宮
20240412-Tokyo_Yakult_Swallows-Yokohama_DeNA_BayStars,2024-04-12 17:45:00,2024,Tokyo Yakult Swallows,Yokohama DeNA BayStars,1.0,3.0,Final,横 浜
20240412-Chiba_Lotte_Marines-Tohoku_Rakuten_Golden_Eagles,2024-04-12 18:00:00,2024,Chiba Lotte Marines,Tohoku Rakuten Golden Eagles,2.0,5.0,Final,楽天モバイル
20240412-Fukuoka_SoftBank_Hawks-Saitama_Seibu_Lions,2024-04-12 18:00:00,2024,Fukuoka SoftBank Hawks,Saitama Seibu Lions,2.0,1.0,Final,ベルーナドーム
20240412-Hanshin_Tigers-Chunichi_Dragons,2024-04-12 18:00:00,2024,Hanshin Tigers,Chunichi Dragons,2.0,2.0,Final,バンテリンドーム
20240412-Hiroshima_Toyo_Carp-Yomiuri_Giants,2024-04-12 18:00:00,2024,Hiroshima Toyo Carp,Yomiuri Giants,4.0,9.0,Final,東京ドーム
20240412-Hokkaido_Nippon-Ham_Fighters-Orix_Buffaloes,2024-04-12 18:00:00,2024,Hokkaido Nippon-Ham Fighters,Orix Buffaloes,1.0,0.0,Final,京セラD大阪
20240413-Chiba_Lotte_Marines-Tohoku_Rakuten_Golden_Eagles,2024-04-13 14:00:00,2024,Chiba Lotte Marines,Tohoku Rakuten Golden Eagles,2.0,2.0,Final,楽天モバイル
20240413-Fukuoka_SoftBank_Hawks-Saitama_Seibu_Lions,2024-04-13 14:00:00,2024,Fukuoka SoftBank Hawks,Saitama Seibu Lions,11.0,2.0,Final,ベルーナドーム
20240413-Hanshin_Tigers-Chunichi_Dragons,2024-04-13 14:00:00,2024,Hanshin Tigers,Chunichi Dragons,2.0,5.0,Final,バンテリンドーム
20240413-Hiroshima_Toyo_Carp-Yomiuri_Giants,2024-04-13 14:00:00,2024,Hiroshima Toyo Carp,Yomiuri Giants,2.0,3.0,Final,東京ドーム
20240413-Hokkaido_Nippon-Ham_Fighters-Orix_Buffaloes,2024-04-13 14:00:00,2024,Hokkaido Nippon-Ham Fighters,Orix Buffaloes,1.0,5.0,Final,京セラD大阪
20240413-Tokyo_Yakult_Swallows-Yokohama_DeNA_BayStars,2024-04-13 14:00:00,2024,Tokyo Yakult Swallows,Yokohama DeNA BayStars,5.0,2.0,Final,横 浜
20240414-Chiba_Lotte_Marines-Tohoku_Rakuten_Golden_Eagles,2024-04-14 13:00:00,2024,Chiba Lotte Marines,Tohoku Rakuten Golden Eagles,9.0,2.0,Final,楽天モバイル
20240414-Fukuoka_SoftBank_Hawks-Saitama_Seibu_Lions,2024-04-14 13:00:00,2024,Fukuoka SoftBank Hawks,Saitama Seibu Lions,4.0,1.0,Final,ベルーナドーム
20240414-Hanshin_Tigers-Chunichi_Dragons,2024-04-14 13:30:00,2024,Hanshin Tigers,Chunichi Dragons,2.0,1.0,Final,バンテリンドーム
20240414-Hiroshima_Toyo_Carp-Yomiuri_Giants,2024-04-14 14:00:00,2024,Hiroshima Toyo Carp,Yomiuri Giants,1.0,2.0,Final,東京ドーム
20240414-Hokkaido_Nippon-Ham_Fighters-Orix_Buffaloes,2024-04-14 14:00:00,2024,Hokkaido Nippon-Ham Fighters,Orix Buffaloes,3.0,6.0,Final,京セラD大阪
20240414-Tokyo_Yakult_Swallows-Yokohama_DeNA_BayStars,2024-04-14 14:00:00,2024,Tokyo Yakult Swallows,Yokohama DeNA BayStars,9.0,0.0,Final,横 浜
20240416-Fukuoka_SoftBank_Hawks-Hokkaido_Nippon-Ham_Fighters,2024-04-16 18:00:00,2024,Fukuoka SoftBank Hawks,Hokkaido Nippon-Ham Fighters,1.0,5.0,Final,エスコンＦ
20240416-Orix_Buffaloes-Tohoku_Rakuten_Golden_Eagles,2024-04-16 18:00:00,2024,Orix Buffaloes,Tohoku Rakuten Golden Eagles,2.0,6.0,Final,楽天モバイル
20240416-Saitama_Seibu_Lions-Chiba_Lotte_Marines,2024-04-16 18:00:00,2024,Saitama Seibu Lions,Chiba Lotte Marines,3.0,4.0,Final,ZOZOマリン
20240416-Tokyo_Yakult_Swallows-Chunichi_Dragons,2024-04-16 18:00:00,2024,Tokyo Yakult Swallows,Chunichi Dragons,2.0,3.0,Final,バンテリンドーム
20240416-Yokohama_DeNA_BayStars-Hiroshima_Toyo_Carp,2024-04-16 18:00:00,2024,Yokohama DeNA BayStars,Hiroshima Toyo Carp,2.0,11.0,Final,マツダスタジアム
20240416-Yomiuri_Giants-Hanshin_Tigers,2024-04-16 18:00:00,2024,Yomiuri Giants,Hanshin Tigers,1.0,1.0,Final,甲子園
20240417-Fukuoka_SoftBank_Hawks-Hokkaido_Nippon-Ham_Fighters,2024-04-17 18:00:00,2024,Fukuoka SoftBank Hawks,Hokkaido Nippon-Ham Fighters,4.0,4.0,Final,エスコンＦ
20240417-Orix_Buffaloes-Tohoku_Rakuten_Golden_Eagles,2024-04-17 18:00:00,2024,Orix Buffaloes,Tohoku Rakuten Golden Eagles,5.0,0.0,Final,楽天モバイル
20240417-Saitama_Seibu_Lions-Chiba_Lotte_Marines,2024-04-17 18:00:00,2024,Saitama Seibu Lions,Chiba Lotte Marines,0.0,2.0,Final,ZOZOマリン
20240417-Tokyo_Yakult_Swallows-Chunichi_Dragons,2024-04-17 18:00:00,2024,Tokyo Yakult Swallows,Chunichi Dragons,0.0,2.0,Final,バンテリンドーム
20240417-Yokohama_DeNA_BayStars-Hiroshima_Toyo_Carp,2024-04-17 18:00:00,2024,Yokohama DeNA BayStars,Hiroshima Toyo Carp,1.0,5.0,Final,マツダスタジアム
20240417-Yomiuri_Giants-Hanshin_Tigers,2024-04-17 18:00:00,2024,Yomiuri Giants,Hanshin Tigers,0.0,2.0,Final,甲子園
20240418-Orix_Buffaloes-Tohoku_Rakuten_Golden_Eagles,2024-04-18 18:00:00,2024,Orix Buffaloes,Tohoku Rakuten Golden Eagles,7.0,0.0,Final,楽天モバイル
20240418-Tokyo_Yakult_Swallows-Chunichi_Dragons,2024-04-18 18:00:00,2024,Tokyo Yakult Swallows,Chunichi Dragons,11.0,5.0,Final,バンテリンドーム
20240418-Yomiuri_Giants-Hanshin_Tigers,2024-04-18 18:00:00,2024,Yomiuri Giants,Hanshin Tigers,1.0,2.0,Final,甲子園
20240419-Chiba_Lotte_Marines-Hokkaido_Nippon-Ham_Fighters,2024-04-19 18:00:00,2024,Chiba Lotte Marines,Hokkaido Nippon-Ham Fighters,3.0,4.0,Final,エスコンＦ
20240419-Chunichi_Dragons-Hanshin_Tigers,2024-04-19 18:00:00,2024,Chunichi Dragons,Hanshin Tigers,0.0,7.0,Final,甲子園
20240419-Orix_Buffaloes-Fukuoka_SoftBank_Hawks,2024-04-19 18:00:00,2024,Orix Buffaloes,Fukuoka SoftBank Hawks,7.0,9.0,Final,PayPayドーム
20240419-Tohoku_Rakuten_Golden_Eagles-Saitama_Seibu_Lions,2024-04-19 18:00:00,2024,Tohoku Rakuten Golden Eagles,Saitama Seibu Lions,4.0,5.0,Final,ベルーナドーム
20240419-Yokohama_DeNA_BayStars-Tokyo_Yakult_Swallows,2024-04-19 18:00:00,2024,Yokohama DeNA BayStars,Tokyo Yakult Swallows,3.0,4.0,Final,神 宮
20240419-Yomiuri_Giants-Hiroshima_Toyo_Carp,2024-04-19 18:00:00,2024,Yomiuri Giants,Hiroshima Toyo Carp,0.0,0.0,Final,マツダスタジアム
20240420-Chiba_Lotte_Marines-Hokkaido_Nippon-Ham_Fighters,2024-04-20 14:00:00,2024,Chiba Lotte Marines,Hokkaido Nippon-Ham Fighters,0.0,2.0,Final,エスコンＦ
20240420-Chunichi_Dragons-Hanshin_Tigers,2024-04-20 14:00:00,2024,Chunichi Dragons,Hanshin Tigers,2.0,15.0,Final,甲子園
20240420-Orix_Buffaloes-Fukuoka_SoftBank_Hawks,2024-04-20 14:00:00,2024,Orix Buffaloes,Fukuoka SoftBank Hawks,3.0,3.0,Final,PayPayドーム
20240420-Tohoku_Rakuten_Golden_Eagles-Saitama_Seibu_Lions,2024-04-20 14:00:00,2024,Tohoku Rakuten Golden Eagles,Saitama Seibu Lions,8.0,2.0,Final,ベルーナドーム
20240420-Yomiuri_Giants-Hiroshima_Toyo_Carp,2024-04-20 14:00:00,2024,Yomiuri Giants,Hiroshima Toyo Carp,2.0,6.0,Final,マツダスタジアム
20240420-Yokohama_DeNA_BayStars-Tokyo_Yakult_Swallows,2024-04-20 18:00:00,2024,Yokohama DeNA BayStars,Tokyo Yakult Swallows,7.0,4.0,Final,神 宮
20240421-Chiba_Lotte_Marines-Hokkaido_Nippon-Ham_Fighters,2024-04-21 13:00:00,2024,Chiba Lotte Marines,Hokkaido Nippon-Ham Fighters,0.0,5.0,Final,エスコンＦ
20240421-Orix_Buffaloes-Fukuoka_SoftBank_Hawks,2024-04-21 13:00:00,2024,Orix Buffaloes,Fukuoka SoftBank Hawks,3.0,1.0,Final,PayPayドーム
20240421-Yomiuri_Giants-Hiroshima_Toyo_Carp,2024-04-21 13:30:00,2024,Yomiuri Giants,Hiroshima Toyo Carp,0.0,0.0,Final,マツダスタジアム
20240421-Chunichi_Dragons-Hanshin_Tigers,2024-04-21 14:00:00,2024,Chunichi Dragons,Hanshin Tigers,0.0,3.0,Final,甲子園
20240421-Tohoku_Rakuten_Golden_Eagles-Saitama_Seibu_Lions,2024-04-21 14:00:00,2024,Tohoku Rakuten Golden Eagles,Saitama Seibu Lions,1.0,0.0,Final,ベルーナドーム
20240421-Yokohama_DeNA_BayStars-Tokyo_Yakult_Swallows,2024-04-21 18:00:00,2024,Yokohama DeNA BayStars,Tokyo Yakult Swallows,8.0,3.0,Final,神 宮
20240423-Hanshin_Tigers-Yokohama_DeNA_BayStars,2024-04-23 17:30:00,2024,Hanshin Tigers,Yokohama DeNA BayStars,1.0,1.0,Final,横 浜
20240423-Chunichi_Dragons-Yomiuri_Giants,2024-04-23 18:00:00,2024,Chunichi Dragons,Yomiuri Giants,0.0,2.0,Final,ひたちなか
20240423-Fukuoka_SoftBank_Hawks-Chiba_Lotte_Marines,2024-04-23 18:00:00,2024,Fukuoka SoftBank Hawks,Chiba Lotte Marines,4.0,2.0,Final,ZOZOマリン
20240423-Hiroshima_Toyo_Carp-Tokyo_Yakult_Swallows,2024-04-23 18:00:00,2024,Hiroshima Toyo Carp,Tokyo Yakult Swallows,2.0,0.0,Final,神 宮
20240423-Hokkaido_Nippon-Ham_Fighters-Tohoku_Rakuten_Golden_Eagles,2024-04-23 18:00:00,2024,Hokkaido Nippon-Ham Fighters,Tohoku Rakuten Golden Eagles,4.0,3.0,Final,楽天モバイル
20240423-Saitama_Seibu_Lions-Orix_Buffaloes,2024-04-23 18:00:00,2024,Saitama Seibu Lions,Orix Buffaloes,1.0,2.0,Final,京セラD大阪
20240424-Hanshin_Tigers-Yokohama_DeNA_BayStars,2024-04-24 17:30:00,2024,Hanshin Tigers,Yokohama DeNA BayStars,5.0,3.0,Final,横 浜
20240424-Chunichi_Dragons-Yomiuri_Giants,2024-04-24 18:00:00,2024,Chunichi Dragons,Yomiuri Giants,3.0,2.0,Final,東京ドーム
20240424-Fukuoka_SoftBank_Hawks-Chiba_Lotte_Marines,2024-04-24 18:00:00,2024,Fukuoka SoftBank Hawks,Chiba Lotte Marines,10.0,1.0,Final,ZOZOマリン
20240424-Hiroshima_Toyo_Carp-Tokyo_Yakult_Swallows,2024-04-24 18:00:00,2024,Hiroshima Toyo Carp,Tokyo Yakult Swallows,,,Postponed,神 宮
20240424-Hokkaido_Nippon-Ham_Fighters-Tohoku_Rakuten_Golden_Eagles,2024-04-24 18:00:00,2024,Hokkaido Nippon-Ham Fighters,Tohoku Rakuten Golden Eagles,,,Postponed,楽天モバイル
20240424-Saitama_Seibu_Lions-Orix_Buffaloes,2024-04-24 18:00:00,2024,Saitama Seibu Lions,Orix Buffaloes,3.0,4.0,Final,京セラD大阪
20240425-Chunichi_Dragons-Yomiuri_Giants,2024-04-25 18:00:00,2024,Chunichi Dragons,Yomiuri Giants,2.0,3.0,Final,東京ドーム
20240425-Fukuoka_SoftBank_Hawks-Chiba_Lotte_Marines,2024-04-25 18:00:00,2024,Fukuoka SoftBank Hawks,Chiba Lotte Marines,6.0,0.0,Final,ZOZOマリン
20240425-Hiroshima_Toyo_Carp-Tokyo_Yakult_Swallows,2024-04-25 18:00:00,2024,Hiroshima Toyo Carp,Tokyo Yakult Swallows,8.0,9.0,Final,神 宮
20240425-Hokkaido_Nippon-Ham_Fighters-Tohoku_Rakuten_Golden_Eagles,2024-04-25 18:00:00,2024,Hokkaido Nippon-Ham Fighters,Tohoku Rakuten Golden Eagles,1.0,5.0,Final,楽天モバイル
20240425-Saitama_Seibu_Lions-Orix_Buffaloes,2024-04-25 18:00:00,2024,Saitama Seibu Lions,Orix Buffaloes,3.0,1.0,Final,京セラD大阪
20240426-Yomiuri_Giants-Yokohama_DeNA_BayStars,2024-04-26 17:30:00,2024,Yomiuri Giants,Yokohama DeNA BayStars,2.0,7.0,Final,横 浜
20240426-Tokyo_Yakult_Swallows-Hanshin_Tigers,2024-04-26 18:00:00,2024,Tokyo Yakult Swallows,Hanshin Tigers,8.0,2.0,Final,甲子園
20240427-Hiroshima_Toyo_Carp-Chunichi_Dragons,2024-04-27 14:00:00,2024,Hiroshima Toyo Carp,Chunichi Dragons,6.0,4.0,Final,バンテリンドーム
20240427-Orix_Buffaloes-Hokkaido_Nippon-Ham_Fighters,2024-04-27 14:00:00,2024,Orix Buffaloes,Hokkaido Nippon-Ham Fighters,0.0,9.0,Final,エスコンＦ
20240427-Saitama_Seibu_Lions-Fukuoka_SoftBank_Hawks,2024-04-27 14:00:00,2024,Saitama Seibu Lions,Fukuoka SoftBank Hawks,1.0,2.0,Final,みずほPayPay
20240427-Tohoku_Rakuten_Golden_Eagles-Chiba_Lotte_Marines,2024-04-27 14:00:00,2024,Tohoku Rakuten Golden Eagles,Chiba Lotte Marines,4.0,1.0,Final,ZOZOマリン
20240427-Tokyo_Yakult_Swallows-Hanshin_Tigers,2024-04-27 14:00:00,2024,Tokyo Yakult Swallows,Hanshin Tigers,4.0,5.0,Final,甲子園
20240427-Yomiuri_Giants-Yokohama_DeNA_BayStars,2024-04-27 14:00:00,2024,Yomiuri Giants,Yokohama DeNA BayStars,2.0,1.0,Final,横 浜
20240428-Orix_Buffaloes-Hokkaido_Nippon-Ham_Fighters,2024-04-28 13:00:00,2024,Orix Buffaloes,Hokkaido Nippon-Ham Fighters,5.0,4.0,Final,エスコンＦ
20240428-Saitama_Seibu_Lions-Fukuoka_SoftBank_Hawks,2024-04-28 13:00:00,2024,Saitama Seibu Lions,Fukuoka SoftBank Hawks,2.0,3.0,Final,みずほPayPay
20240428-Hiroshima_Toyo_Carp-Chunichi_Dragons,2024-04-28 13:30:00,2024,Hiroshima Toyo Carp,Chunichi Dragons,0.0,0.0,Final,バンテリンドーム
20240428-Tohoku_Rakuten_Golden_Eagles-Chiba_Lotte_Marines,2024-04-28 14:00:00,2024,Tohoku Rakuten Golden Eagles,Chiba Lotte Marines,1.0,10.0,Final,ZOZOマリン
20240428-Tokyo_Yakult_Swallows-Hanshin_Tigers,2024-04-28 14:00:00,2024,Tokyo Yakult Swallows,Hanshin Tigers,3.0,4.0,Final,甲子園
